Timestamp,Gender,Age,Education,Region,Marital status,Delivery platform,Job duration (experience),Monthly income,Type of vehicle,Mode of carrying deliveries,Working Hours per Day,Working days per week,Number of deliveries per day,Duration of rest break,Type of break,Tobacco Consumption,Alcohol Consumption,"In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Row 1Neck]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Shoulders]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Upper back]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Lower back]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Elbows]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Wrists / Hands]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Hips / Thighs]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Knees]","In the past 12 months, have you experienced pain, discomfort, or numbness in the following body areas due to delivery work? [Ankles / Feet]","In the past 7 days,  have you experienced discomfort in [Neck]","In the past 7 days,  have you experienced discomfort in [Lower back]","In the past 7 days,  have you experienced discomfort in [Knees]","In the past 7 days,  have you experienced discomfort in [Wrist/Hands]",Has this discomfort reduced your delivery performance?,Have you ever taken leave due to body pain caused by delivery work?,Have you consulted a doctor or physiotherapist for work-related pain?,Does riding/driving for long hours increase your discomfort?,Does carrying heavy packages worsen your discomfort?,"How mentally demanding was your delivery shift (e.g., navigating routes, managing multiple orders, handling customer calls, using the app)? [.]","How physically demanding was your delivery shift (e.g., riding/driving long distances, climbing stairs, carrying packages, weather conditions)? [.]","How rushed or time-pressured did you feel while completing your deliveries (e.g., delivery deadlines, traffic delays, app timers)? [.]",How satisfied were you with your ability to complete deliveries accurately and on time during your shift? [.],"How much effort did you have to put in to maintain your delivery performance (e.g., speed, accuracy, customer interaction)? [.]","How stressed, frustrated, or emotionally strained did you feel during your delivery shift (e.g., due to customer behaviour, traffic, ratings, earnings pressure)? [.]","Overall, how hard did your delivery work feel today? [Your rating]",How tired did your legs feel while walking/riding? [Your rating],"How hard was it to breathe during deliveries (due to speed, heat, stairs, etc.)? [Your rating]",How hard did lifting or carrying parcels feel? [Your rating],How physically stressful was working in traffic/weather conditions? [Your rating],"At the end of your shift, how exhausted did your body feel? [Your rating]",age_ord,education_ord,income_ord,job_duration_ord,work_hours_ord,work_days_ord,deliveries_ord,rest_break_ord,work_hours_num,deliveries_num,work_days_num,rest_break_num,nmq_neck,nmq_shoulders,nmq_upper_back,nmq_lower_back,nmq_elbows,nmq_wrists_hands,nmq_hips_thighs,nmq_knees,nmq_ankles_feet,d7_neck,d7_lower_back,d7_knees,d7_wrist_hands,out_reduced_perf,out_taken_leave,out_consulted_doctor,out_riding_worsens,out_carrying_worsens,vehicle_rank,carrying_contact_rank,gender_rank,region_rank,marital_rank,platform_rank,break_type_rank,tobacco_ord,alcohol_ord,workload_score,fatigue_score,force_exertion,vibration_index,workload_x_fatigue,workload_x_age,force_x_age,fatigue_x_jobdur,deliv_x_days,discomfort,exposure_severity,rank,upper_arm,lower_arm,wrist,wrist_twist,neck_position,trunk_position,legs,muscle_a,force_a,muscle_b,force_b,rula_table_a,rula_table_b,rula_table_c,qec_back,qec_shoulder_arm,qec_wrist_hand,qec_neck,qec_driving,qec_vibration,qec_work_pace,qec_stress
3/10/2026 23:18:16,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,<6 months,"20,000 - 35,000",Motor bike,Handheld,> 8 hrs,7,11-20,>30 min,Uneven,Never,Never,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25,25,0,50,0,0,1,1,1,1,6,6,0,2,2,0,3,3,1,3,9,15,7.0,40.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,1,1,0,1,0,0,0,16.7,2.67,1,18,0.446,0.0,0,0.0,105.0,0,1.297,151,2,2,2,1,3,3,1,1.0,0,0,1,3,4,5,20,18,26,12,4,4,4,9
3/10/2026 23:19:31,Male,36-45,Degree/master's degree or higher,Local,Married,Both,12 - 24 months,"20,000 - 35,000",Motor bike,Backpack,> 8 hrs,5-6,21-30,>30 min,Even,Occasionally,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,100,100,50,100,100,100,8,8,8,8,10,10,2,2,2,2,3,2,2,3,9,25,5.5,40.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,3,1,2,0,75.0,8.67,8,18,6.502,15.0,16,17.34,137.5,1,2.963,1,3,1,2,1,3,2,1,1.0,0,1,2,4,3,7,20,30,36,16,9,9,4,4
3/10/2026 23:20:25,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,>24 months,"10,000 - 19,999",Scooter,Handheld,> 8 hrs,5-6,>=31,>30 min,Even,Never,Never,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,100,100,25,50,50,100,3,2,7,2,9,10,0,2,1,3,3,2,3,3,9,35,5.5,40.0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,4,1,1,0,1,1,0,0,70.8,5.5,2,9,3.894,0.0,0,16.5,192.5,1,2.278,30,4,2,2,1,3,2,1,1.0,3,1,3,4,3,7,34,50,46,18,9,9,4,4
3/10/2026 23:20:47,Male,<25,Degree/master's degree or higher,Non-Local ( not Tamil Nadu ),Unmarried,Blinkit,<6 months,"20,000 - 35,000",Scooter,Backpack,6-8 hrs,7,21-30,5-15 min,Uneven,Never,Never,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,50,50,100,25,50,50,7,7,8,7,10,6,0,2,2,0,2,3,2,1,7,25,7.0,10.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,1,2,0,1,0,0,0,62.5,7.5,7,7,4.688,0.0,0,0.0,175.0,1,1.833,71,4,2,2,1,2,2,1,1.0,1,1,2,4,2,6,28,28,36,14,9,9,4,9
3/10/2026 23:22:22,Male,<25,High school,Non-Local ( not Tamil Nadu ),Unmarried,Blinkit,<6 months,"<10,000",Scooter,Handheld,6-8 hrs,3-4,11-20,<5 min,Uneven,Occasionally,Never,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,50,25,50,75,50,50,7,6,2,3,8,10,0,1,0,0,2,1,1,0,7,15,3.5,2.5,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,4,1,2,0,1,0,2,0,41.7,6.0,3,7,2.502,0.0,0,0.0,52.5,1,1.667,99,4,2,2,1,2,3,1,1.0,0,1,0,4,4,6,24,26,22,12,9,9,4,9
3/10/2026 23:23:16,Female,25-35,High school,Local,Married,Blinkit,12 - 24 months,">35,000",Scooter,Bike handle,> 8 hrs,7,>=31,>30 min,Even,Never,Never,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,100,100,25,50,50,100,2,2,7,3,7,10,1,1,3,2,3,3,3,3,9,35,7.0,40.0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,3,2,1,1,1,1,0,0,70.8,5.17,3,9,3.66,7.08,3,10.34,245.0,1,2.352,25,2,2,3,1,4,2,1,1.0,2,1,3,3,5,7,36,44,40,18,4,4,9,9
3/10/2026 23:23:31,Female,36-45,Degree/master's degree or higher,Local,Married,Blinkit,12 - 24 months,"20,000 - 35,000",Scooter,Backpack,> 8 hrs,7,21-30,16-30min,Even,Never,Never,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,25,50,50,75,75,75,4,7,2,3,8,10,2,2,2,2,3,3,2,2,9,25,7.0,23.0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,2,2,1,1,1,1,0,0,50.0,5.67,3,9,2.835,10.0,6,11.34,175.0,1,2.297,28,4,2,2,2,3,3,1,1.0,3,1,3,4,4,7,32,44,46,18,9,9,1,9
3/10/2026 23:24:43,Male,36-45,High school,Non-Local ( not Tamil Nadu ),Unmarried,Blinkit,<6 months,"10,000 - 19,999",Motor bike,Backpack,3-5 hrs,7,11-20,16-30min,Uneven,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100,100,50,75,2,3,7,5,3,8,2,1,1,0,1,3,1,2,4,15,7.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,54.2,4.67,5,8,2.531,10.84,10,0.0,105.0,0,0.963,173,3,2,2,1,2,2,1,1.0,0,0,0,4,3,4,18,20,24,10,9,4,1,1
3/10/2026 23:25:43,Male,<25,High school,Local,Unmarried,Blinkit,<6 months,"<10,000",Scooter,Backpack,3-5 hrs,3-4,21-30,>30 min,Uneven,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25,0,100,50,25,5,3,4,2,3,10,0,1,0,0,1,1,2,3,4,25,3.5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,29.2,4.5,2,4,1.314,0.0,0,0.0,87.5,0,0.944,175,2,1,2,1,3,2,1,1.0,0,1,0,3,3,4,30,32,26,14,9,9,4,9
3/10/2026 23:25:49,Male,25-35,Degree/master's degree or higher,Local,Unmarried,Blinkit,6 -12 months,">35,000",Motor bike,Backpack,6-8 hrs,7,21-30,>30 min,Uneven,Never,Never,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,50,100,0,75,75,75,10,10,9,0,10,10,1,2,3,1,2,3,2,3,7,25,7.0,40.0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,2,2,1,1,0,1,0,0,0,54.2,8.17,0,14,4.428,5.42,0,8.17,175.0,1,2.241,34,3,2,3,1,3,3,1,1.0,3,1,1,4,4,7,24,22,22,16,9,9,4,1
3/10/2026 23:26:53,Male,25-35,Degree/master's degree or higher,Local,Married,Blinkit,6 -12 months,"20,000 - 35,000",Motor bike,Backpack,> 8 hrs,7,>=31,>30 min,Uneven,Never,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,50,50,0,100,100,25,2,3,5,3,6,2,1,2,2,1,3,3,3,3,9,35,7.0,40.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,2,1,1,1,1,0,0,0,37.5,3.5,3,18,1.312,3.75,3,3.5,245.0,1,2.389,24,4,2,3,1,4,3,1,1.0,1,1,3,4,6,7,40,44,46,18,4,4,9,4
3/10/2026 23:27:59,Male,<25,High school,Local,Unmarried,Blinkit,>24 months,"10,000 - 19,999",Motor bike,Backpack,6-8 hrs,3-4,11-20,5-15 min,Even,Regularly,Occasionally,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,25,50,25,50,100,50,2,3,0,8,4,2,0,1,1,3,2,1,1,1,7,15,3.5,10.0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,1,1,0,1,1,3,2,50.0,3.17,8,14,1.585,0.0,0,9.51,52.5,1,1.686,97,3,2,3,1,2,2,1,1.0,0,1,2,4,2,6,24,22,32,14,9,9,4,9
3/10/2026 23:28:03,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,6 -12 months,"20,000 - 35,000",Motor bike,Backpack,> 8 hrs,3-4,>=31,>30 min,Uneven,Occasionally,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,100,100,50,50,1,3,9,9,10,8,0,2,2,1,3,1,3,3,9,35,3.5,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,0,2,0,45.8,6.67,9,18,3.055,0.0,0,6.67,122.5,0,1.741,91,3,1,2,1,3,3,1,1.0,1,1,0,4,4,6,22,32,34,12,6,6,6,9
3/10/2026 23:29:43,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,12 - 24 months,"10,000 - 19,999",Scooter,Backpack,6-8 hrs,3-4,21-30,<5 min,Uneven,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,75,25,75,50,50,2,5,6,5,3,2,0,2,1,2,2,1,2,0,7,25,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,0,0,45.8,3.83,5,7,1.754,0.0,0,7.66,87.5,0,1.203,157,2,1,2,1,2,2,1,1.0,1,1,0,3,2,4,26,28,20,26,8,8,8,8
3/10/2026 23:30:48,Male,25-35,Degree/master's degree or higher,Local,Married,Blinkit,6 -12 months,"20,000 - 35,000",Scooter,Backpack,6-8 hrs,7,21-30,16-30min,Uneven,Occasionally,Occasionally,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,50,75,0,50,100,50,5,6,9,0,10,2,1,2,2,1,2,3,2,2,7,25,7.0,23.0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,2,1,1,1,1,0,2,2,54.2,5.33,0,7,2.889,5.42,0,5.33,175.0,1,1.703,94,3,2,2,1,2,2,1,1.0,0,1,1,4,3,6,30,30,30,20,16,8,8,8
3/10/2026 23:30:54,Female,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,6 -12 months,"10,000 - 19,999",Scooter,Handheld,> 8 hrs,< 3,>=31,>30 min,Even,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,50,100,100,100,50,8,3,7,6,8,10,0,2,1,1,3,0,3,3,9,35,2.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,0,1,1,0,0,58.3,7.0,6,9,4.081,0.0,0,7.0,70.0,0,1.778,85,2,2,2,1,3,3,1,1.0,2,1,0,3,4,6,32,30,28,34,9,9,9,16
3/10/2026 23:32:05,Male,<25,Degree/master's degree or higher,Local,Unmarried,Blinkit,<6 months,">35,000",Motor bike,Bike storage / carrier,> 8 hrs,7,>=31,>30 min,Even,Never,Never,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,100,50,0,100,100,100,1,6,6,9,9,10,0,2,3,0,3,3,3,3,9,35,7.0,40.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1,1,1,0,1,1,0,0,58.3,6.83,9,18,3.982,0.0,0,0.0,245.0,0,1.759,87,3,1,3,1,3,2,2,0.0,0,0,2,4,4,6,14,24,34,12,6,6,6,6
3/10/2026 23:32:48,Male,<25,Degree/master's degree or higher,Non-Local ( not Tamil Nadu ),Unmarried,Blinkit,<6 months,"20,000 - 35,000",Scooter,Backpack,> 8 hrs,7,21-30,>30 min,Even,Never,Never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,25,0,0,3,1,3,3,5,7,0,2,2,0,3,3,2,3,9,25,7.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,1,0,0,37.5,3.67,3,9,1.376,0.0,0,0.0,175.0,0,1.408,138,3,1,3,1,3,1,1,0.0,0,0,2,4,3,5,14,20,30,10,6,6,6,4
3/10/2026 23:36:37,Male,<25,Degree/master's degree or higher,Non-Local ( not Tamil Nadu ),Married,Zepto,6 -12 months,"20,000 - 35,000",Motor bike,Backpack,> 8 hrs,5-6,>=31,>30 min,Uneven,Never,Never,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,50,25,75,25,75,3,2,4,2,10,0,0,2,2,1,3,2,3,3,9,35,5.5,40.0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,2,2,1,2,1,2,0,0,0,33.3,3.5,2,18,1.165,0.0,0,3.5,192.5,1,2.056,50,2,2,2,1,2,3,2,1.0,1,0,1,3,5,7,26,22,28,10,9,9,1,9
